serial,brand,gender,price,total_sale,seller_reviews,year,volume
507,Davidoff,Men's watch/Unisex,75652.5,1431.0,1031.0,2024-01-01,Medium Sale
508,Elgin,Men's watch/Unisex,18975.0,759.0,483.0,1975-01-01,Medium Sale
512,Mondaine,Men's watch/Unisex,17655.0,5034.0,3907.0,2024-01-01,High Sale
514,Frederique Constant,Men's watch/Unisex,61957.5,495.0,380.0,2024-01-01,Low Sale
518,Dewitt,Men's watch/Unisex,1328002.5,779.0,619.0,2024-01-01,Medium Sale
519,Traser,Men's watch/Unisex,49005.0,1473.0,1088.0,2024-01-01,Medium Sale
521,Invicta,Men's watch/Unisex,31185.0,14642.0,448.0,2014-01-01,High Sale
544,Victorinox Swiss Army,Men's watch/Unisex,33000.0,14626.0,7424.0,2024-01-01,High Sale
547,Ingersoll,Men's watch/Unisex,20790.0,14626.0,7424.0,2024-01-01,High Sale
552,Lemania,Men's watch/Unisex,249480.0,273.0,200.0,1985-01-01,Low Sale
555,Bomberg,Men's watch/Unisex,78375.0,14642.0,448.0,2024-01-01,High Sale
556,F.P.Journe,Men's watch/Unisex,6140970.0,1317.0,1067.0,2008-01-01,Medium Sale
564,Mb&f,Men's watch/Unisex,329752.5,455.0,353.0,2024-01-01,Low Sale
566,Hanhart,Men's watch/Unisex,181830.0,251.0,181.0,2023-01-01,Low Sale
567,Zeppelin,Men's watch/Unisex,173745.0,399.0,291.0,2024-01-01,Low Sale
568,Traser,Men's watch/Unisex,72187.5,1473.0,1088.0,2024-01-01,Medium Sale
570,Versace,Men's watch/Unisex,23100.0,14626.0,7424.0,2024-01-01,High Sale
571,Jules Jürgensen,Men's watch/Unisex,106837.5,1390.0,860.0,1964-01-01,Medium Sale
572,Glashütte Original,Women's watch,317625.0,545.0,356.0,2023-01-01,Low Sale
578,Ball,Men's watch/Unisex,195525.0,316.0,169.0,2024-01-01,Low Sale
580,Junkers,Men's watch/Unisex,26647.5,1156.0,845.0,2022-01-01,Medium Sale
583,Hamilton,Men's watch/Unisex,86625.0,1170.0,667.0,2024-01-01,Medium Sale
584,Mb&f,Men's watch/Unisex,335115.0,14642.0,448.0,2024-01-01,High Sale
585,Tecnotempo,Men's watch/Unisex,29452.5,14642.0,448.0,2024-01-01,High Sale
587,Tudor,Men's watch/Unisex,763042.5,697.0,452.0,2024-01-01,Low Sale
595,Venezianico,Men's watch/Unisex,115417.5,816.0,670.0,2024-01-01,Medium Sale
598,Rotary,Women's watch,22935.0,14626.0,7424.0,2024-01-01,High Sale
602,Audemars Piguet,Men's watch/Unisex,1559250.0,238.0,141.0,2008-01-01,Low Sale
604,Ulysse Nardin,Men's watch/Unisex,329917.5,2946.0,2094.0,2024-01-01,High Sale
606,Glashütte Original,Men's watch/Unisex,1732500.0,265.0,195.0,2024-01-01,Low Sale
609,Rolex,Men's watch/Unisex,1204087.5,1222.0,821.0,2023-01-01,Medium Sale
612,Lacoste,Men's watch/Unisex,11467.5,14626.0,7424.0,2024-01-01,High Sale
613,TAG Heuer,Men's watch/Unisex,235125.0,284.0,199.0,2017-01-01,Low Sale
620,Davosa,Men's watch/Unisex,79777.5,8539.0,4710.0,2024-01-01,High Sale
623,Glycine,Men's watch/Unisex,145282.5,14642.0,448.0,1998-01-01,High Sale
628,Rolex,Men's watch/Unisex,1093125.0,544.0,399.0,2017-01-01,Low Sale
630,Rolex,Men's watch/Unisex,1195837.5,255.0,207.0,2021-01-01,Low Sale
632,Citizen,Men's watch/Unisex,57667.5,733.0,440.0,2024-01-01,Medium Sale
634,Atlantic,Women's watch,35557.5,2069.0,1305.0,2024-01-01,Medium Sale
636,Swiss Military,Men's watch/Unisex,28462.5,14626.0,7424.0,2024-01-01,High Sale
