serial,brand,movement,case_material,bracelet_material,gender,shape,crystal,dial,bracelet_color,clasp,year
13021,Grand Seiko,Automatic,Titanium,Titanium,Men's watch/Unisex,Rectangular,Sapphire crystal,Blue,Steel,Double-fold clasp,2024-01-01
13022,Chanel,Automatic,Ceramic,Ceramic,Women's watch,Circular,Sapphire crystal,White,White,Fold clasp,2024-01-01
13025,Chanel,Quartz,Ceramic,Ceramic,Women's watch,Circular,Sapphire crystal,White,White,"Fold clasp, hidden",2024-01-01
13027,Hublot,Automatic,steel,Rubber,Men's watch/Unisex,Circular,Sapphire crystal,Black,Black,Fold clasp,2024-01-01
13042,Hermès,Automatic,steel,Steel,Men's watch/Unisex,Circular,Sapphire crystal,Black,Black,Buckle,2020-01-01
13046,Casio,Quartz,steel,Rubber,Men's watch/Unisex,Circular,Mineral Glass,Silver,Black,Buckle,2024-01-01
13047,Mondaine,Quartz,steel,Leather,Women's watch,Circular,Mineral Glass,Black,Black,Buckle,2022-01-01
13050,Michele,Quartz,steel,Steel,Women's watch,Rectangular,Sapphire crystal,Silver,Gold,Fold clasp,2024-01-01
13055,Traser,Quartz,steel,Steel,Men's watch/Unisex,Circular,Sapphire crystal,Blue,Silver,Buckle,2024-01-01
13058,Rotary,Automatic,steel,Animal skin,Men's watch/Unisex,Circular,Sapphire crystal,White,Brown,Buckle,2024-01-01
13061,Cartier,Automatic,steel,Steel,Men's watch/Unisex,Rectangular,Sapphire crystal,Silver,Steel,Fold clasp,2024-01-01
13072,Blancpain,Automatic,Titanium,Titanium,Men's watch/Unisex,Circular,Sapphire crystal,Blue,Silver,Fold clasp,2024-01-01
